dataset_name,mu,T,use_e0,inverse_mi_budget,privacy_aware,train_loss_list,final_train_loss,test_acc
bank,1.0,50,exact,512,True,"[0.6932168812855349, 0.6927360857436311, 0.6926360592624311, 0.6930264433083353, 0.6933654939343291, 0.6939604371418833, 0.6941422153712751, 0.6942950999307662, 0.6946251362490732, 0.6941938972016807, 0.693891713436176, 0.6948705667182, 0.6944806207001907, 0.6944535106188967, 0.6943314196836095, 0.6942812083674293, 0.6941539600154453, 0.6938946093369699, 0.6938984566324189, 0.6938229395275323, 0.6939914160214569, 0.693910335093559, 0.6939481642603299, 0.6942877629610141, 0.6940754725643269, 0.6934748820503159, 0.6934669223101189, 0.693565980130351, 0.6934476092558463, 0.6930208246858947, 0.6930822934670801, 0.6928249038264302, 0.6925965516501145, 0.6928129046684762, 0.6928341061514885, 0.6928576643986161, 0.692598106874276, 0.6929019248571407, 0.6928785409200525, 0.6933001506362845, 0.6939198011809059, 0.6937198365589367, 0.6936209974176631, 0.693906682235198, 0.6934452321133112, 0.6932461919444811, 0.6934028694998973, 0.6936093669290114, 0.6935824834165892, 0.6935706403026471]",0.6935706403026471,0.4668804705142975
bank,1.0,50,exact,512,True,"[0.6938707095804081, 0.6938425668689718, 0.6939367315873369, 0.6940740818182664, 0.6941542269461901, 0.6944393628615295, 0.6952974798208321, 0.6958491814450011, 0.6959139881581743, 0.6960110751238431, 0.6953602014226109, 0.6945690130316583, 0.6940813173910401, 0.6948488949421117, 0.6949900297627369, 0.6949798304787738, 0.6939411022505558, 0.6944948932880314, 0.6949466132633977, 0.6943771261356175, 0.6942706274145004, 0.694414714952379, 0.6946276507694984, 0.694997199250692, 0.6953035769999467, 0.6957382291811914, 0.6954636700307797, 0.6957991424795263, 0.6959375955788982, 0.6965376138241173, 0.6959818499484457, 0.6959023968390714, 0.6965221593033227, 0.6961022944749943, 0.6968773913043801, 0.6963497337568225, 0.6960147159873888, 0.6966371271632874, 0.6958889923763524, 0.695944530221688, 0.6962221923152898, 0.6959466308109133, 0.6959240055513076, 0.6956200284178596, 0.6955798611667962, 0.6947142620683996, 0.6949183699137664, 0.695030525983933, 0.695388029501321, 0.6947333562621822]",0.6947333562621822,0.24162335693836212
bank,1.0,50,exact,512,True,"[0.6929821484482643, 0.6933049678417897, 0.6936017748372418, 0.6935403679109351, 0.6937759263400984, 0.693917191824727, 0.6938038341789761, 0.6941145841306259, 0.6932137045016749, 0.6931881507281507, 0.6928287653899354, 0.692807697708697, 0.6926427139228528, 0.6927102742604491, 0.6925081127553451, 0.6925530829207875, 0.6925817870477993, 0.6925842406043786, 0.6928515058193759, 0.6932966177124191, 0.6932828616373126, 0.6928171155038099, 0.6931015176911984, 0.6931137586492426, 0.6933578104995176, 0.6931942434257801, 0.6936986831582552, 0.6938815844318489, 0.6939360155550471, 0.6941333937718762, 0.6942448532026209, 0.6939992788946255, 0.693752944843307, 0.6937411918644631, 0.6935991509765939, 0.6935731431880516, 0.6938467627601337, 0.6940908878973181, 0.6946365822073376, 0.6949009377658435, 0.6945971084960938, 0.6943628438097894, 0.6941582504962291, 0.6942052663452503, 0.6944558500393329, 0.6935643626670469, 0.6935868127368752, 0.6936955865218135, 0.6944012086704848, 0.6943111035066332]",0.6943111035066332,0.3394891023635864
bank,1.0,50,exact,512,True,"[0.6932703173307333, 0.6932647012497043, 0.6933180468908631, 0.6932999394074759, 0.6931973012553738, 0.692904212827704, 0.6930470092290854, 0.6929290024528402, 0.6924207247179299, 0.6923089332419331, 0.6921231415550393, 0.6925572796193048, 0.6924211960939775, 0.6925858926761266, 0.6927994386560817, 0.6933490855870739, 0.6929803598991643, 0.6927905026755408, 0.6930478434163677, 0.6923874712522202, 0.6918957721429504, 0.6915391134194948, 0.6915535783798523, 0.6912504002103743, 0.6912516270940875, 0.691354077147608, 0.6911240621821683, 0.6910325857031699, 0.6909709464187002, 0.6911212903079661, 0.6906146819851356, 0.6901111486243839, 0.6903916623556264, 0.6903182836423998, 0.6898451908255367, 0.6898574928896508, 0.6900825091436791, 0.6899526901079804, 0.689612999359154, 0.689559436211481, 0.6899578480451839, 0.6902666929949257, 0.6901299205317457, 0.6900803968059953, 0.6905323537422403, 0.6907127542646172, 0.6909601608728676, 0.6906130644350222, 0.690977018895194, 0.6905198762838702]",0.6905198762838702,0.7339378595352173
bank,1.0,50,exact,512,True,"[0.6933389173841628, 0.6931231193913925, 0.6927988976239959, 0.6926752277407885, 0.6927802763062092, 0.6929731913229196, 0.6928361608385263, 0.6929839603929933, 0.6934905638438815, 0.6932690398410802, 0.6926835184537584, 0.6928221770669536, 0.6936461100776579, 0.6934605950878977, 0.6925135432357516, 0.6923174391055775, 0.6929452121194868, 0.6933586687934428, 0.6932845133560491, 0.6937438571924568, 0.6941934629063823, 0.6941515178664392, 0.6943880692203402, 0.6949546426946714, 0.6946752083325309, 0.6946228747719132, 0.695172649165852, 0.6946445816028847, 0.6942865314067442, 0.6947462515445166, 0.6945513282701928, 0.694108975439278, 0.6936313532309263, 0.6929557178034892, 0.6927493995697587, 0.693064709764951, 0.6933054625014679, 0.6930793661448501, 0.6932703730480374, 0.6927763501583512, 0.6920334331186248, 0.6923202791258789, 0.6921076943911874, 0.6919839442418647, 0.6922066471058304, 0.6925756128250122, 0.6924445510487527, 0.6923386562923027, 0.6924520565264093, 0.6924115891738296]",0.6924115891738296,0.6373990774154663
bank,1.0,50,exact,512,True,"[0.6926478694248209, 0.6927892781532724, 0.692895180419096, 0.6929574098323045, 0.6925204001047713, 0.6929450733332305, 0.6930251986917235, 0.6929001515472325, 0.6931239851087287, 0.6931274949485224, 0.6928124416491563, 0.6925365691612073, 0.6923831553202627, 0.6924660475762003, 0.6924199054231585, 0.6921445615913556, 0.6917925297873108, 0.6916741630626937, 0.6910920344550978, 0.6910595918463045, 0.6909500128089492, 0.6905763027657749, 0.6917741921610463, 0.6915933203224526, 0.6912516236039096, 0.6914923903197303, 0.6915480071915916, 0.6918944848820986, 0.6919059598227766, 0.6920127956565392, 0.6914416304777089, 0.6912640536213464, 0.6914824334030705, 0.690937590447308, 0.6910671697741603, 0.69125026369478, 0.6910436065324855, 0.6909255548874377, 0.6911250250627865, 0.6906507625369309, 0.6906835837180079, 0.6903289500246079, 0.6903015383924763, 0.6900431074096067, 0.6903016765930731, 0.6904824963648049, 0.6906443241955875, 0.6905196726715116, 0.6906413609396076, 0.6904478142155639]",0.6904478142155639,0.6903682351112366
bank,1.0,50,exact,512,True,"[0.693003970895236, 0.6938558762166532, 0.6941229945803021, 0.6937580313679996, 0.6932027656398065, 0.6932505894900904, 0.693215397310669, 0.6939800535945849, 0.6941050677308137, 0.6938179146038724, 0.6933675418212673, 0.6937266702431862, 0.6937991621016495, 0.6938654195752059, 0.6942728105233623, 0.6941070064940227, 0.693918567241609, 0.6938758767112058, 0.6935621692366819, 0.6935061800147306, 0.692766277216944, 0.6926292567557073, 0.6922126555191358, 0.6920803094171064, 0.6920592606474796, 0.691904611680916, 0.6914522430615279, 0.6918979555150478, 0.6911762130277412, 0.691399510414843, 0.6924379475449872, 0.6916481106104213, 0.6915281369087198, 0.6921281291583734, 0.6920039136198296, 0.6914742605098039, 0.691389630565868, 0.6918213803243454, 0.6917633551724012, 0.6913660204528571, 0.6912841543494855, 0.6908613067254559, 0.6907589029383855, 0.691202657638905, 0.6914472897617706, 0.6909790522046153, 0.6911755637744554, 0.6912581632683242, 0.6912474804712484, 0.6910803522911627]",0.6910803522911627,0.7748534679412842
bank,1.0,50,exact,512,True,"[0.693340784754268, 0.6935484431817629, 0.6936942610533946, 0.693604065427067, 0.6929931882444846, 0.6941674936995736, 0.6941545478917391, 0.6942580181960883, 0.6944449726230367, 0.6943413310708402, 0.694045394216526, 0.6945086985768434, 0.6942533764393577, 0.6941787473028593, 0.693827694833145, 0.6938214695085057, 0.6931917834892868, 0.6926916162462478, 0.6926687484681862, 0.6925811360494138, 0.6929193493692989, 0.6927742068162824, 0.6922061511465086, 0.6922325688566089, 0.6917292119993317, 0.6918140383129053, 0.6927329088438989, 0.6928175895647625, 0.6924745856216565, 0.6923315626028245, 0.6920996304217197, 0.6921922043151969, 0.6917827221519613, 0.6917590682035147, 0.691815923411516, 0.6917058548860917, 0.69159661576479, 0.6917916323721549, 0.6915869709649476, 0.6916623753121943, 0.691648369205625, 0.6915836346600086, 0.6918557115849358, 0.6919045083470077, 0.6922628433655351, 0.6924229370271762, 0.6921913094634535, 0.6921138566274011, 0.692341167719746, 0.6924934954453001]",0.6924934954453001,0.6364038586616516
bank,1.0,50,exact,512,True,"[0.6926107389115366, 0.6923307141144844, 0.6921793022110645, 0.6916106281027214, 0.6911550724263034, 0.6911475234029634, 0.6910238704759755, 0.6904660369119782, 0.690390462358025, 0.6905977893313581, 0.6906830415820282, 0.6912433438895292, 0.6915883889456859, 0.6910159115199936, 0.6908416217958959, 0.6913321878942118, 0.6908433692727753, 0.6904107274173517, 0.6907590835035395, 0.6904051214937461, 0.6904514774319033, 0.6910013529546271, 0.6905722046292837, 0.6903711900498437, 0.6905620137147461, 0.6904246496645827, 0.6901169364419638, 0.6901132166784164, 0.6902179340570442, 0.6903369286510762, 0.690643685664566, 0.6910186963488466, 0.6907061663949239, 0.6907354310859435, 0.6908179959316151, 0.6909570690417665, 0.690455752332866, 0.6901230136783013, 0.6894542230030206, 0.6891381348951554, 0.6895650620767539, 0.6896059026633546, 0.6893727852265624, 0.6894257467582258, 0.6893969928366104, 0.689778903033234, 0.6900006090551914, 0.6900057042380212, 0.6899048749977034, 0.6900019446560397]",0.6900019446560397,0.7317261695861816
bank,1.0,50,exact,512,True,"[0.69226997424385, 0.6920055141871233, 0.6924210798788465, 0.6927708141582131, 0.6930338542481556, 0.6932107733597576, 0.6928341431236792, 0.6927534509042388, 0.6924018984302034, 0.6930048069992818, 0.6931100311583723, 0.6933432528225268, 0.69463554384361, 0.6948949606887035, 0.6949905121583198, 0.6954518937630944, 0.6956942808740588, 0.6950512147791622, 0.695345574100258, 0.6950203942346799, 0.6949200004299105, 0.6946043085544441, 0.6947844845009766, 0.6942947791213813, 0.6938874614052501, 0.6934524839788435, 0.6937524288535469, 0.6934614138416365, 0.6934064865955645, 0.6937247509178959, 0.6931238118097842, 0.6934788568851221, 0.6932750412216047, 0.6935629948859977, 0.6936772636498766, 0.6935080540844961, 0.6935620655217338, 0.6938786427297746, 0.6938991447490525, 0.6940846033139213, 0.694516389025935, 0.6942088519831043, 0.6940073995875451, 0.6945358249952336, 0.6943579199692518, 0.6941336959927045, 0.6933957171553182, 0.693115689922843, 0.692423695709493, 0.6925648555374802]",0.6925648555374802,0.7631316781044006
